Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
978533	1479541896	953	1440936	10444.633570332975	10724468.647931414	15792285.95834346	16215396595.672298	978533	1479541896	953	1440936	10444.633570332975	10724468.647931414	15792285.95834346	16215396595.672298	voice
979436	1480907232	903	1365336	9335.355738444361	10125563.104140632	14115057.876527874	15309851413.460636	979436	1480907232	903	1365336	9335.355738444361	10125563.104140632	14115057.876527874	15309851413.460636	voice
980353	1482293736	917	1386504	10226.25620300552	10932760.029863762	15462099.378944347	16530333165.154009	980353	1482293736	917	1386504	10226.25620300552	10932760.029863762	15462099.378944347	16530333165.154009	voice
981262	1483668144	909	1374408	8679.964520858566	9369988.279061297	13124106.355538152	14167422277.94068	981262	1483668144	909	1374408	8679.964520858566	9369988.279061297	13124106.355538152	14167422277.94068	voice
982189	1485069768	927	1401624	9922.090025901778	10512802.244283108	15002200.119163487	15895356993.356058	982189	1485069768	927	1401624	9922.090025901778	10512802.244283108	15002200.119163487	15895356993.356058	voice
983107	1486457784	918	1388016	7521.754474524221	8055217.294320353	11372892.765480623	12179488549.012373	983107	1486457784	918	1388016	7521.754474524221	8055217.294320353	11372892.765480623	12179488549.012373	voice
984009	1487821608	902	1363824	6183.377148423454	6745564.040402455	9349266.248416264	10199292829.088512	984009	1487821608	902	1363824	6183.377148423454	6745564.040402455	9349266.248416264	10199292829.088512	voice
984972	1489277664	963	1456056	8973.317971674534	9178054.983589003	13567656.773171896	13877219135.186573	984972	1489277664	963	1456056	8973.317971674534	9178054.983589003	13567656.773171896	13877219135.186573	voice
985882	1490653584	910	1375920	8580.220349384834	9295697.58076068	12973293.168269869	14055094742.110147	985882	1490653584	910	1375920	8580.220349384834	9295697.58076068	12973293.168269869	14055094742.110147	voice
987000	1492344000	1118	1690416	13014.36497257932	11489425.964164391	19677719.838539932	17372012057.81656	987000	1492344000	1118	1690416	13014.36497257932	11489425.964164391	19677719.838539932	17372012057.81656	voice
