Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
113	4746	1	42	0.9957859039793887	112.52380714967092	41.82300796713432	4725.999900286179	113	4746	1	42	0.9957859039793887	112.52380714967092	41.82300796713432	4725.999900286179	arp
116	4872	1	42	0.9959395963911323	115.52899318137135	41.829463048427556	4852.217713617596	116	4872	1	42	0.9959395963911323	115.52899318137135	41.829463048427556	4852.217713617596	arp
114	4788	1	42	0.9966621130224166	113.6194808845555	41.859808746941496	4772.018197151331	114	4788	1	42	0.9966621130224166	113.6194808845555	41.859808746941496	4772.018197151331	arp
117	4914	1	42	0.9964615587102341	116.58600236909739	41.851385465829836	4896.61209950209	117	4914	1	42	0.9964615587102341	116.58600236909739	41.851385465829836	4896.61209950209	arp
115	4830	1	42	0.9967118497217655	114.62186271800303	41.86189768831415	4814.118234156127	115	4830	1	42	0.9967118497217655	114.62186271800303	41.86189768831415	4814.118234156127	arp
118	4956	1	42	0.9968073107213424	117.6232626651184	41.865907050296386	4940.1770319349735	118	4956	1	42	0.9968073107213424	117.6232626651184	41.865907050296386	4940.1770319349735	arp
116	4872	1	42	0.999513147983234	115.94352516605514	41.979552215295826	4869.628056974316	116	4872	1	42	0.999513147983234	115.94352516605514	41.979552215295826	4869.628056974316	arp
119	4998	1	42	0.9994593207362293	118.93565916761129	41.97729147092163	4995.297685039674	119	4998	1	42	0.9994593207362293	118.93565916761129	41.97729147092163	4995.297685039674	arp
117	4914	1	42	0.996028996258869	116.53539256228767	41.8332178428725	4894.486487616082	117	4914	1	42	0.996028996258869	116.53539256228767	41.8332178428725	4894.486487616082	arp
120	5040	1	42	0.996101142773411	119.53213713280932	41.836247996483266	5020.349759577992	120	5040	1	42	0.996101142773411	119.53213713280932	41.836247996483266	5020.349759577992	arp
118	4956	1	42	0.9981245471106103	117.77869655905202	41.92123097864563	4946.705255480185	118	4956	1	42	0.9981245471106103	117.77869655905202	41.92123097864563	4946.705255480185	arp
121	5082	1	42	0.9981176589293168	120.77223673044733	41.92094167503131	5072.433942678788	121	5082	1	42	0.9981176589293168	120.77223673044733	41.92094167503131	5072.433942678788	arp
119	4998	1	42	0.9961685678157797	118.54405957007778	41.83907984826274	4978.850501943267	119	4998	1	42	0.9961685678157797	118.54405957007778	41.83907984826274	4978.850501943267	arp
122	5124	1	42	0.9961576845596299	121.53123751627486	41.83862275150446	5104.311975683544	122	5124	1	42	0.9961576845596299	121.53123751627486	41.83862275150446	5104.311975683544	arp
120	5040	1	42	0.9971103961788288	119.65324754145945	41.87863663951081	5025.436396741297	120	5040	1	42	0.9971103961788288	119.65324754145945	41.87863663951081	5025.436396741297	arp
123	5166	1	42	0.996983120497381	122.62892382117786	41.873291060890004	5150.4148004894705	123	5166	1	42	0.996983120497381	122.62892382117786	41.873291060890004	5150.4148004894705	arp
